"",INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,entity_id,contract_id,price_range
15773687,FUTSTK,IDEA,2019-11-28,0.0,XX,2.7,3.95,2.45,3.7,3.7,24701,22992.56,632380000,85736000,2019-11-15,100,14365,1.5
9386333,FUTSTK,IDEA,2019-10-31,0.0,XX,5.2,6.0,5.15,5.9,5.9,11362,17965.96,589792000,55552000,2019-10-09,100,42667,0.8499999999999996
32148422,FUTSTK,IDEA,2019-10-31,0.0,XX,5.8,6.45,5.0,6.2,6.2,24375,40315.11,568456000,27412000,2019-09-30,100,42667,1.4500000000000002
955932,FUTSTK,IDEA,2019-10-31,0.0,XX,6.25,6.3,5.2,5.45,5.45,10295,16123.14,559888000,-8568000,2019-10-01,100,42667,1.0999999999999996
13660969,FUTSTK,IDEA,2019-11-28,0.0,XX,3.75,4.05,3.65,3.7,3.7,6138,6606.5,556248000,19320000,2019-11-13,100,14365,0.3999999999999999
14599025,FUTSTK,IDEA,2019-11-28,0.0,XX,3.35,3.45,2.9,2.95,2.95,9909,8514.38,546644000,-9604000,2019-11-14,100,14365,0.5500000000000003
873872,FUTSTK,IDEA,2019-11-28,0.0,XX,3.85,4.8,3.75,4.35,4.35,22575,27809.58,546336000,43260000,2019-11-01,100,14365,1.0499999999999998
28992735,FUTSTK,IDEA,2019-10-31,0.0,XX,5.25,5.85,5.1,5.7,5.7,6147,9473.15,541044000,47488000,2019-09-27,100,42667,0.75
11408623,FUTSTK,IDEA,2019-11-28,0.0,XX,3.8,4.05,3.8,4.05,4.05,3879,4297.83,536928000,3892000,2019-11-11,100,14365,0.25
7147779,FUTSTK,IDEA,2019-10-31,0.0,XX,5.15,5.55,5.0,5.15,5.15,4997,7303.73,534240000,10248000,2019-10-07,100,42667,0.5499999999999998
